"","beta.1.1","beta.2.1","beta.3.1","beta.4.1","beta.5.1","beta.6.1","beta.7.1","beta.8.1","beta.1.2","beta.2.2","beta.3.2","beta.4.2","beta.5.2","beta.6.2","beta.7.2","beta.8.2","beta.1.3","beta.2.3","beta.3.3","beta.4.3","beta.5.3","beta.6.3","beta.7.3","beta.8.3","beta.1.4","beta.2.4","beta.3.4","beta.4.4","beta.5.4","beta.6.4","beta.7.4","beta.8.4","beta.1.5","beta.2.5","beta.3.5","beta.4.5","beta.5.5","beta.6.5","beta.7.5","beta.8.5","beta.1.6","beta.2.6","beta.3.6","beta.4.6","beta.5.6","beta.6.6","beta.7.6","beta.8.6","sigma.1","sigma.2","sigma.3","sigma.4","sigma.5","sigma.6","sigma.7","sigma.8","lp__"
"11",-0.221524246265137,-0.192048742277682,-0.301343155188483,-0.228120093135296,-0.165620167757495,-0.0892044118829744,-0.000333514584422087,0.0101027988637874,1.03087626169267,1.01999236832797,1.03679979349714,1.02093200521406,1.0151907097586,1.00400465555192,0.996514948524048,0.997308211556747,-0.0444301532785546,-0.0483353556308699,-0.0580813137674905,-0.053878191971088,-0.0481452924315654,-0.0349422051011198,-0.0248709902620429,-0.00768429444535172,-0.0594914999151791,-0.05579361440049,0.0578993609803937,0.0743202455838037,0.025307840463926,0.00991757357275644,-0.0297281640843909,-0.0134131194673203,-0.102243790449284,-0.0948687379668945,-0.0426049795172309,-0.042838741766771,-0.00352499351072527,-0.0137775275532949,-0.0258697639494164,-0.00301571024768609,-0.00586388241814958,0.0057702110206706,0.0376549844557525,0.00274795563416766,0.00782325921631685,-0.000243566813057191,-0.0134412953391466,-0.00141862557553175,0.218103664987997,0.185791560444681,0.169980819373248,0.142536451560946,0.125529688121882,0.0903665607556177,0.0597194176004922,0.0154991861893135,21577.7784875752
"12",-0.168562328869639,-0.175594760890052,-0.28657970188135,-0.229433561652038,-0.170390425620532,-0.0766500257877472,-0.0143361333680856,0.00972227395120472,1.01738514049936,1.01532092093553,1.04441069179466,1.01983605776886,1.01684325206757,0.999712309282226,0.997691730922939,0.996612313501844,-0.0625015747599268,-0.0464021325130155,-0.061207643872686,-0.0361851639671618,-0.0589867911917236,-0.0357884976349803,-0.0193213789953342,-0.00507548133102828,-0.0411198735369482,-0.0915000190324621,0.00390458361086211,0.0375031687441373,0.0422036168005954,0.0171670262366606,-0.0211612211666872,-0.0116828285742777,-0.101814715703483,-0.0797583665615263,-0.0620469438314377,-0.026385812702573,-0.017025482635354,-0.029804722545112,-0.019489582279494,-0.00364388916298173,-0.0108755214985962,0.0290473805789686,0.0279036656678366,0.0327770451571294,0.00899983475305524,-0.000962667685914923,-0.00932954638021928,4.4571351422452e-05,0.207228166011564,0.1869609150173,0.169607197334434,0.145919630352783,0.119745299889133,0.0942435307639205,0.059504449912698,0.0153055850929863,21577.1651842224
"13",-0.200429276021006,-0.199375148659436,-0.357075073006913,-0.275878586252962,-0.159455852185496,-0.0855176489165281,-0.0278612192494497,0.00815728874211179,1.01692636338668,1.02406366680577,1.05445370914967,1.03822741166647,1.00986186452664,1.00660275058486,0.997030573650591,0.997530369710252,-0.0334751304171866,-0.0609147120002469,-0.0615574160637805,-0.0502531135263464,-0.0458361563280824,-0.0464814045149713,-0.0228968781525983,-0.00571979915510603,-0.0654602462385015,-0.0645369086090779,0.0400604293107942,0.0412172316289515,0.080581671636598,0.00873772212489906,0.0210828505635493,-0.0123435999967402,-0.0658256895110218,-0.0898962588502184,-0.0236430480473418,-0.0269810805114029,-0.0221052444183222,-0.0278250069470793,-0.0210231188895675,-0.002742779112675,0.0153187159172232,0.0290607539806195,0.0389089699147028,0.0251669665758918,-0.00339736617592403,0.00962807019208521,-0.0142111609490437,-0.00136764843251053,0.211282768996991,0.188465879395461,0.169507447987993,0.148225612634931,0.125201266871107,0.0943099179310878,0.0584627540520404,0.0154245380227599,21574.6301375789
"14",-0.167031684778007,-0.19128061312834,-0.32215343277751,-0.247293844299808,-0.176554513819701,-0.0945724864785503,-0.0236671809625572,0.00347762034210061,1.0271291644886,1.01840775862185,1.04907117253321,1.02507878519631,1.011977399666,1.00452147221387,0.995300825543149,0.997976759670127,-0.025358673781809,-0.0582450086640644,-0.0693625111094045,-0.0597782128157643,-0.0548997014797357,-0.0347458488627944,-0.0236864617465619,-0.00670858809923319,-0.16872773623313,-0.043815941724371,0.0626025375774179,0.0803055841675881,0.0632837063146169,0.0233872301974357,0.0285196585950304,-0.00450143567408907,-0.110059194474354,-0.0967085366689261,-0.0533422879328337,-0.0350452611174893,-0.00293326804469218,-0.0210274533226884,-0.0185196410114113,-0.0013523327196994,-0.0179984227764459,0.0291289094506638,0.0192765234685564,0.00839066792382758,0.0142110522549505,0.00601702394150172,-0.0130256426192235,-0.000370674329650486,0.212508484163578,0.181030736345408,0.168486474441145,0.1407999808879,0.118530303667811,0.0932586405624301,0.0565993140165941,0.0157736211720848,21572.3252928543
"15",-0.199441687227711,-0.263728318316535,-0.332397591994506,-0.259777365393877,-0.2034091644406,-0.10247396945294,-0.0332357453817972,0.00280798600950725,1.01732252361942,1.038807646687,1.04567123329593,1.03936393967209,1.02305229205831,1.00744768337986,1.00087058869443,0.99902080328885,-0.0411044649232684,-0.0542522676871796,-0.0461246771237834,-0.0685498801188076,-0.0526309427982854,-0.0417442100042497,-0.024231734716941,-0.00773681802399882,-0.0434637706614097,-0.0236731855864805,0.0701896922454691,0.0333402135493903,0.0668145695683786,0.0201724303926419,0.00138035894091358,-0.0132096034801001,-0.0815095266614897,-0.0835511864414206,-0.0441689546224289,-0.0324045697429128,-0.00746675502417391,-0.00864481697081609,-0.0159438426413059,0.000290432895250119,0.00925169596053946,0.0119944744081513,0.0280298519160868,0.0236919038655014,0.0203873600408727,0.00521075015689381,-0.00728247267287439,0.00193502696957592,0.213516950431547,0.186231797084236,0.169210558409689,0.144764973034935,0.123047038279651,0.0985733518263424,0.0595704574598053,0.0157978038632845,21575.8965622965
"16",-0.163035751057665,-0.172273246172476,-0.243272226912117,-0.262798495522565,-0.241619063901441,-0.113103268424298,-0.0221823462410051,0.0106740288305856,1.01595037248328,1.0126329492179,1.0324830941868,1.03114567380804,1.02235396838792,1.00850288055664,0.995423464444671,0.996648815553585,-0.03104161566641,-0.04674917731236,-0.0544308384864208,-0.051335731110349,-0.0475125825805986,-0.0434606262955456,-0.0209931629163131,-0.00557231694783253,-0.0904584358348688,-0.0506803697245883,-0.00761892583118521,0.0534687253233985,0.137469795299596,0.0349107228881551,0.013585699552077,-0.015349378832895,-0.122958078297469,-0.10127357736257,-0.0492433420789547,-0.0216720417337681,0.00667485500684263,-0.0153017325748109,-0.0155899995443852,-0.00188645998617557,-0.0182376259330994,0.0304688319038766,0.0147709858911135,0.0183677721021791,0.012293042056956,0.0141033704120118,-0.0119439774858021,-0.000494362972031228,0.21180563317494,0.182586618143963,0.164783021007284,0.148415584970941,0.122223366533137,0.0928393723764859,0.0572506234347551,0.0158657546935313,21573.2759034408
"17",-0.21965601350831,-0.177039493582166,-0.326862679676775,-0.287299020925772,-0.134083110064485,-0.100445277937107,-0.0138914726741583,0.00716626721270547,1.02590706865154,1.02211798752124,1.04373994605118,1.03420051290377,1.00834121867454,1.00783325486805,0.999129067156669,0.998008413148592,-0.0360704357250337,-0.0490750996719356,-0.0694861358464522,-0.0619953180317731,-0.042689596001363,-0.0400621308572124,-0.027159621595525,-0.00589903898933097,-0.0335716684370568,-0.0969233322772902,0.0821958209912151,0.124437196390974,0.000600572155541237,0.00347899570406714,-0.0151155049399206,-0.0137558738797933,-0.0856509949462839,-0.0959269284477626,-0.0363790800992533,-0.0369666115524072,-0.0183590040333099,-0.00975836208821342,-0.0220514093410024,-0.00303356773103815,0.00746008443253905,0.010281848767145,0.0291333595531352,0.00592766467329324,0.00162603081881651,0.0125476996012348,-0.0145585185443512,-0.000870099811342683,0.209775423960546,0.183582087777859,0.169778408027234,0.145700198809049,0.123075129326851,0.0951031338626093,0.0586742159037935,0.0155652314555543,21578.4913815977
"18",-0.247807848195119,-0.207985849992095,-0.270120149691037,-0.247514007836069,-0.183548704917099,-0.0594672633380562,-0.016657800733057,0.00741156325292981,1.03864029983272,1.03145742471944,1.04288749695137,1.02862390176,1.01996121720719,0.997491244304373,0.997879994257033,0.997403266583749,-0.0515922553155778,-0.0543918273860169,-0.0689903026567881,-0.049194558853395,-0.0511266587933913,-0.0404073238145495,-0.0266295831495292,-0.00580624905026723,-0.0847461343946833,-0.0745000412017836,-0.0115234251948061,0.0622778372353809,0.0343876833686787,-0.00689113208709356,0.00270758428198548,-0.0112491495034505,-0.0735952192047443,-0.0838398502735729,-0.0665504361949485,-0.0459579355125243,-0.0107347782224423,-0.0258708771235706,-0.0235787026073603,-0.00145268357841079,0.0105008209446011,0.024832571505666,0.0179354906767933,0.0010477217125776,0.00540196739988281,0.00758875372918904,-0.0140906677509654,-0.00167059684437661,0.21506799340964,0.190655902080781,0.162445706534614,0.154766578947837,0.12074327134234,0.0946207268132482,0.0602502866716092,0.0152694236568176,21575.2227695293
"19",-0.148734580658485,-0.169957103932805,-0.266980254721887,-0.243784508995725,-0.179167459107952,-0.0787413032728962,-0.00849512808387795,0.00792354773122863,1.00700492028715,1.01385153581129,1.03082014293532,1.03257163800496,1.01757512273327,1.00092601632768,0.994408699512073,0.997905595244099,-0.0230571481658609,-0.0496299193573883,-0.0456153443061178,-0.0534811805664492,-0.0446912698479586,-0.0402891906942609,-0.0192820299107171,-0.00610055853218684,-0.114685286034565,-0.050151601311928,0.0215908134612606,0.0345253894169813,0.0305303313345412,0.0184847701038636,0.00170335569008397,-0.014766984721602,-0.0714604854845261,-0.0961263370351605,-0.048582083101476,-0.0423421090468352,0.00881399542472029,-0.0262551258027674,-0.0242928409374976,-0.00138957068962304,0.0163093186463418,0.0161499472193377,0.024654744638706,0.0150986267037997,0.0207163335137462,0.00202741695708639,-0.015900391354846,-0.000500944595170737,0.211582902922872,0.187558490763827,0.167998670465193,0.143538728478361,0.11731945427491,0.093679327736243,0.0607372051014884,0.0156488773283888,21580.8744041487
"20",-0.317215147537808,-0.212589854849996,-0.262888926663397,-0.201566353669823,-0.139705709386514,-0.0768916293762339,-0.0224060530344557,0.00323965865906723,1.05160602976813,1.02352446348002,1.03426561692525,1.02631844077812,1.00835835096152,1.00091374031303,0.994947350992587,0.998038521051116,-0.0704178541011076,-0.0477841136077844,-0.063293562371616,-0.0626744164910589,-0.0468504286320263,-0.0396653581660237,-0.0203043812963553,-0.00712259045061048,-0.06001352123776,-0.070286771304564,0.00716265318351529,0.00221156554171533,0.0141177572923505,0.0199125229904688,0.0146992202925625,-0.00954489519385141,-0.0573856790305414,-0.0654673237774126,-0.0516331568682329,-0.0492976064690874,-0.0104006009846554,-0.0284165619205269,-0.0114920073906746,1.54999396835838e-06,0.0381003572966702,0.0515602278909161,0.0400438508445775,0.0140049083116697,0.0154484656746227,-0.00100981959303419,-0.00937572835918657,0.00187453820209996,0.218669474853765,0.18948413076716,0.166884701666963,0.14984869889559,0.119731901471184,0.0955185978540607,0.0579865890982538,0.0153368566697887,21571.7100054815
