"","beta.1.1","beta.2.1","beta.3.1","beta.4.1","beta.5.1","beta.6.1","beta.7.1","beta.8.1","beta.1.2","beta.2.2","beta.3.2","beta.4.2","beta.5.2","beta.6.2","beta.7.2","beta.8.2","beta.1.3","beta.2.3","beta.3.3","beta.4.3","beta.5.3","beta.6.3","beta.7.3","beta.8.3","beta.1.4","beta.2.4","beta.3.4","beta.4.4","beta.5.4","beta.6.4","beta.7.4","beta.8.4","beta.1.5","beta.2.5","beta.3.5","beta.4.5","beta.5.5","beta.6.5","beta.7.5","beta.8.5","beta.1.6","beta.2.6","beta.3.6","beta.4.6","beta.5.6","beta.6.6","beta.7.6","beta.8.6","gamma.1","gamma.2","gamma.3","gamma.4","gamma.5","gamma.6","gamma.7","sigma.1","sigma.2","sigma.3","sigma.4","sigma.5","sigma.6","sigma.7","sigma.8","lp__"
"11",-0.175573490231887,-0.172877696879316,-0.203838434455212,-0.0884803909700381,-0.0288248965709515,0.0860965114277129,0.079721853288342,0.0179633820694471,1.02019852485699,-0.0122984619423688,-0.0630399061565277,0.312224613504353,0.4292623739834,0.594633746944185,0.774462050017311,0.950336378729941,-0.0407417797311834,-0.0467889366810005,-0.0329365782291973,-0.0516378220464399,-0.0379323804223503,-0.0192875166052266,-0.00568350627125099,-0.00208790925323224,-0.0914604445207991,-0.00843704276820394,0.0512395693539545,0.0487920467149929,0.0391597491446778,-0.023298925765953,-0.0203270542908369,-0.015503194139326,-0.101885994485975,-0.0745445537281915,-0.0389407253156305,-0.0224729810114153,0.0502257201116301,-0.0445772178114999,-0.022287947725509,0.00255651639301446,0.0132052216578053,0.0491854626410497,0.00780445142840283,-0.0193648770316222,0.010259555169142,-0.0138137878540148,-0.0301381082234263,0.00309051300305333,1.01434747518418,1.07403222699971,0.683400615599949,0.551366902127162,0.377536532349127,0.208106162727379,0.0461252110030519,0.217079286741765,0.180573508676385,0.150837544193753,0.134763240817478,0.102496187091861,0.0761853082602119,0.0449645693979213,0.0119260123381699,23396.901866126
"12",-0.164006460163633,-0.187168540297703,-0.19710313253552,-0.126111962547668,-0.0438539255038894,0.0870092006446676,0.0629366196689916,0.0173496197054024,1.01865626242656,0.033559370345614,0.0845419694442142,0.287809199868674,0.480121087792581,0.602327861551981,0.773527889811947,0.947288415410187,-0.0334910198251967,-0.0307047939361702,-0.0527073410053825,-0.0538624125557364,-0.0395637648694956,-0.022278352352283,-0.00630020635657368,-0.00239629720999874,-0.167140191086402,-0.00868297516339056,0.085960294598622,0.114510923860744,0.0513059312317916,-0.0235136970187322,-0.0042238855426723,-0.00997490633250821,-0.0782776897244175,-0.0905408917958929,-0.0392357592761484,0.00017221959398581,0.0385623898045959,-0.0494945486734129,-0.0216502643082486,0.00184729317836039,0.00969353712500353,0.0372550666290228,-0.0193986950086363,-0.0155500337055003,0.00619678988166614,-0.02189330403292,-0.0296203444182149,0.00195698407108021,0.974562199368278,0.927161499542319,0.709730957252494,0.504521072848211,0.370746521839094,0.212409567618088,0.0491416622682901,0.220757507232225,0.177508096101933,0.148752271693258,0.12833002584258,0.0991724605127856,0.0763775083901247,0.0439490554817937,0.0114110822814494,23389.4046924273
"13",-0.164610584365992,-0.229272314682055,-0.240352468065067,-0.104123266314965,-0.0355544038843663,0.116920444456197,0.0665372981789659,0.0205574672413204,1.01640232485279,0.106050724479326,-0.0486604007003229,0.302680295568386,0.455468736774974,0.598077149919605,0.781216410120046,0.949196464840892,-0.0399937726675313,-0.0590944645396172,-0.0508437555976908,-0.0495335636914859,-0.0327891841337787,-0.0171558065555241,-0.00751168139724188,-0.00206519893400592,-0.113535482142763,0.0213554061141867,0.0805907213831197,0.0604356833514955,0.0229142416007831,-0.0618100432733843,-0.0135219887720288,-0.016446946141347,-0.0902359756250065,-0.0942999311058693,-0.0286747336852218,-0.0141908757425734,0.0438805366705142,-0.0532384510252563,-0.0207796541152817,0.000142505478719506,0.0142680848465882,0.0367033009432525,0.0077097833764868,-0.0100717098946762,0.0167345708824459,-0.0226045068927312,-0.0307557046852739,0.00108263023731864,0.917038792984576,1.07173664749869,0.694626616231218,0.529497986456925,0.370371803446332,0.204257276804263,0.0470723154370399,0.210434740648488,0.1785530476146,0.150734779264381,0.130746038472747,0.104063100220581,0.0758195811366984,0.0443822073234098,0.0119848730718625,23396.3688187679
"14",-0.217013587131596,-0.208871463605471,-0.252633567612441,-0.100109526822958,-0.0610529649393807,0.0784983405350782,0.0723878868040439,0.0188562602578334,1.02717013853746,0.1342117894593,0.0267044562566342,0.28016436143567,0.437135174534431,0.582576861373262,0.769392309262948,0.947369967392893,-0.0349727954021529,-0.0509023325075049,-0.0596998157751364,-0.0400968496126842,-0.0380874519052414,-0.0188467357296857,-0.00695334387669834,-0.00254256485851344,-0.076635589173913,-0.0146174281981535,0.106680893516598,0.0337184248129507,0.0885552063765036,-0.0169660571179014,-0.00357688994032829,-0.0172371663944284,-0.096927133166986,-0.060959305891594,-0.0296011496206459,-0.0148390506952354,0.0377106741588238,-0.0410577397006464,-0.0233650006013722,0.00110102840198652,0.0123087597490009,0.0468371525912247,-0.000190423854385239,-0.00414435580455605,0.0093109904604703,-0.0211128890324073,-0.0317690681412863,0.00355552358534138,0.878156301796344,0.997951593932169,0.716076984053411,0.549611605861767,0.390942634300522,0.213566820239578,0.0495367955052738,0.214298952365059,0.177000838306036,0.146137642014268,0.127062187498195,0.100180075779565,0.0755157110552676,0.044873791624227,0.0121841442903838,23386.0588699423
"15",-0.10940708348532,-0.201416172033268,-0.178715034521942,-0.0984047553516764,0.0112287343020017,0.108510100462865,0.0837788974716634,0.0222606268710161,1.00620995452676,0.0177188940786531,0.0413430846611798,0.307808040672738,0.47498276305672,0.603532371399938,0.773575727352262,0.946628328929585,-0.0303801258761436,-0.0413869525770522,-0.048602996268692,-0.0529261963336106,-0.0266807414578526,-0.016979698919269,-0.00447513253919328,-0.000927517566194058,-0.179668483201944,0.0055686741087466,0.0253764992530673,0.0536498544025682,0.0112441936896659,-0.0304788695053935,-0.0277620800466768,-0.0171581036246691,-0.11172856624282,-0.0898042379622898,-0.0360324914262918,-0.0246991114697477,0.020105792431678,-0.0587809263522009,-0.0206631126031426,0.00107834062577632,0.0138797827553479,0.0222800468585585,-0.00729924038796905,-0.0103877037594873,-0.0062543069578741,-0.0381123975916022,-0.0297859625065179,0.000658260145783512,0.993522068571986,0.968645917333608,0.69036277373054,0.497492048002334,0.364681118938112,0.207507450691415,0.0491272008041597,0.220967459799694,0.175704642679138,0.145278861861221,0.129913043800803,0.102082137307778,0.0763178716836473,0.0452065899312744,0.0113881847997175,23386.554613323
"16",-0.241890700292085,-0.15798953040822,-0.219533184455414,-0.023375071008023,-0.0045560256847535,0.115846147299145,0.0855704024516522,0.0176968988108863,1.03525033336369,-0.00195895170091111,0.0148472704609754,0.302582589705914,0.42562033974717,0.582852742392741,0.768773063062906,0.950343409105254,-0.0410861088004894,-0.0500688238300751,-0.0575067778350263,-0.0306631645350267,-0.0328013940443383,-0.0165017010926802,-0.0073654454435893,-0.00175496454127606,-0.0581739026366803,-0.047720814638886,0.142366563713853,-0.015466507753919,0.0302978485429649,-0.0321664376181291,-0.0305832614890328,-0.0154206543123958,-0.097078748471798,-0.0979911962863439,-0.0370698847253652,-0.0436210297593288,0.0419697753627694,-0.0551357950426878,-0.0231236087219466,0.00126968297132066,0.0202967496284779,0.0222784848772406,-0.0066174325690879,-0.0257221411112654,0.00889470248957803,-0.0203396781522866,-0.0291170757442526,0.00307032506130066,1.01265423532334,0.995681987432331,0.6794493857184,0.551002137929831,0.38291204017446,0.214160372711173,0.0461322166687518,0.203971704791158,0.170631229564204,0.151238627305419,0.132870704557634,0.103396529820576,0.0757965811566854,0.0437848659263017,0.0117476708231553,23388.1317090971
"17",-0.133301866251299,-0.154859620687165,-0.15612675522441,-0.0829467696529072,-0.0379062154198798,0.138462133710857,0.078023573980292,0.0170465791718245,1.0178156139047,-0.116438170662208,0.0245799704240541,0.268311660864696,0.464960196683492,0.573179357756163,0.76650171787778,0.949018853647099,-0.051991569711936,-0.0574407251275933,-0.0529976187864024,-0.0573403724387383,-0.0384308388266964,-0.0136752997538255,-0.00671888827389394,-0.00213580639670554,-0.141110843795198,0.0153539360328703,0.0236022497735953,0.0502576904346258,0.0885978079616785,-0.0430945924911747,-0.0156334684381674,-0.0105147183389289,-0.0925431860405961,-0.0836366856686185,-0.0453305080566546,-0.0247054625569254,0.0363824859275775,-0.0649180717013209,-0.0234877674598597,0.00176177082994432,-0.0124477862532935,0.0378570612270935,-0.027775385200319,-0.00922758365004228,-0.00808690214958493,-0.0291657219452515,-0.0293394097636566,0.00215429839658318,1.11370195227668,0.983323614557402,0.724903389802513,0.515496844715822,0.389046698638252,0.216299830999289,0.0473119956489068,0.22021512497782,0.179314482682942,0.15163739769994,0.131230343003816,0.0999865426323651,0.0775831339010719,0.0439248438237361,0.0114070600985081,23387.8460172613
"18",-0.201100266416888,-0.149593835771927,-0.206487646727505,-0.0946226550131131,0.0172124113508242,0.0847690767108249,0.0686568415709392,0.0207012051428971,1.0129843326749,0.0347139840828986,-0.0307896899655304,0.291860573433577,0.423737984717932,0.609352535876756,0.771344090430934,0.947600958393985,-0.0465047202672697,-0.0428886891596834,-0.0432020455548116,-0.0470663139366302,-0.0433052213894388,-0.0189103110008276,-0.00471659473177658,-0.00156884752963675,-0.048821993986626,-0.0226066337447497,0.0650370520679105,0.0221612960009784,0.0115054718222101,3.16116733245718e-05,-0.000682122217078778,-0.0184037018814737,-0.0811688079494521,-0.086712397795728,-0.0398418307587486,-0.035630754375358,0.0374218528306417,-0.0459239760854736,-0.0215034085507926,0.000839902145081595,0.026952449464943,0.0430156794763034,-0.0209371296170383,-0.0292727052773853,0.00656933493905012,-0.019415731299811,-0.0303525953541308,0.00235391395692444,0.962610078571696,1.045691659878,0.710387856714175,0.550339785194887,0.360000775277881,0.212376493936741,0.0485700950927878,0.216793390095834,0.177921527008563,0.149480216737023,0.134119188366645,0.1000510608354,0.0761398417335383,0.0444146729101537,0.0119751709513089,23393.8624047469
"19",-0.192506276526182,-0.207783846343715,-0.205233174095949,-0.0933333608348446,-0.0383041580238262,0.119333521095271,0.0817754463451931,0.0187074093429278,1.03348132334965,-0.005584043540594,0.0409132428379989,0.283681225735871,0.446716040160354,0.597720746196763,0.776739869095032,0.947508562479706,-0.0456014574601317,-0.0454461960133967,-0.0528892976508234,-0.0409602233901933,-0.042475690671424,-0.0236880410767028,-0.00629444770661378,-0.00166532245076651,-0.153749846018021,-0.0271670833613406,0.073876265092976,0.0513396069277802,0.0671326126843999,-0.0639890590824394,-0.0169585037695832,-0.0151364059292259,-0.104931979501424,-0.0706699203392102,-0.0355645813525846,-0.019750115702634,0.0304857414641834,-0.0557221140467964,-0.0251452030893487,0.00210969100825742,-0.000398708920397892,0.0444142711792915,-0.0113154107168322,-0.00773973459915587,0.00251126507987851,-0.0243688575532387,-0.0270481675666582,0.0030004113386979,1.02228281092489,0.96975449310568,0.710180208269251,0.535368458257247,0.372197228132194,0.204651413000004,0.0489321990288595,0.211531881904691,0.177799591142123,0.153946154459438,0.130790381274849,0.103480024681228,0.0754584341756396,0.0463026794175965,0.0119212534057016,23391.9866550378
"20",-0.188414519209496,-0.11029830453753,-0.160555124271996,-0.0452490677317826,-0.00220810722290543,0.0813022971788133,0.0776184013553736,0.0174673626896754,1.01720445782227,0.0614067185722314,-0.0470052901489174,0.2636205706595,0.429650587401889,0.617397443266542,0.76315379829398,0.948658016802232,-0.0461287484124449,-0.043537101877458,-0.033652590185406,-0.0436781621264084,-0.0272880739943619,-0.0223975089472514,-0.00300508527222672,-0.00267820134942957,-0.0526071770109846,-0.0808884524245451,-0.0150933253508854,0.00358732069290772,0.025033329147693,-0.0135437228444521,-0.00623659571629573,-0.0091241709381659,-0.0955800129327995,-0.111867916640305,-0.0466136757348411,-0.020942192776264,0.0240210193774032,-0.0497613247350239,-0.024539077943361,0.00237322919548835,0.00222328958779408,0.0176284925549969,-0.00834313223093324,-0.0159771527282498,-0.0103131053767311,-0.0249635607785636,-0.0311835377352015,0.00216916470515329,0.937493972538408,1.05462238105157,0.720968391873931,0.546375482011574,0.356022788672836,0.218593914266534,0.0476139762656806,0.213177509343721,0.177433430863475,0.151168696972868,0.129989674188964,0.100146165788621,0.0761103115479568,0.0445000637426604,0.0119790425919044,23388.6464512667
