"","beta.1.1","beta.2.1","beta.3.1","beta.4.1","beta.5.1","beta.6.1","beta.7.1","beta.8.1","beta.1.2","beta.2.2","beta.3.2","beta.4.2","beta.5.2","beta.6.2","beta.7.2","beta.8.2","beta.1.3","beta.2.3","beta.3.3","beta.4.3","beta.5.3","beta.6.3","beta.7.3","beta.8.3","beta.1.4","beta.2.4","beta.3.4","beta.4.4","beta.5.4","beta.6.4","beta.7.4","beta.8.4","sigma.1","sigma.2","sigma.3","sigma.4","sigma.5","sigma.6","sigma.7","sigma.8","lp__"
"11",-0.228196200799936,-0.19031110472749,-0.221851552391359,-0.195289301817923,-0.150095051377795,-0.0357237454639826,-0.0118424937498419,-0.000453595220488752,1.01774168552676,1.00025493868379,1.01159402225854,1.01142610389958,1.00472365870343,0.985041716016303,0.991379166115716,0.997702946899796,-0.104992176317525,-0.0737993608622884,-0.0524710047866541,-0.0509652954820074,-0.00822069180865188,-0.0389560821405152,-0.0258947355655442,-0.00230281231801238,-0.0117573780404357,0.0156286404531788,0.00614979376115198,0.00558510788166709,0.00616526451202572,-0.0179894182677745,-0.011499286975532,-0.000140790888383284,0.211471904594224,0.193720510909045,0.167890005387061,0.148612905706127,0.121441663129013,0.0960229160000192,0.0586749896393939,0.0158167249055274,21398.5737742458
"12",-0.220920709650449,-0.246003209340257,-0.19616329475243,-0.173776623350643,-0.130610913014256,-0.0387245789011505,0.0131276145105039,0.00190135385352391,1.01686131662761,1.02105772364389,1.00550358794795,1.00914794836602,0.999149312061143,0.985817159750802,0.983878507097648,0.996713457800415,-0.114418282097096,-0.10007563427766,-0.0704028591696786,-0.0520932180412415,-0.0140989998248585,-0.0383977170275735,-0.0294736779960049,-0.00207674916052018,-0.00533042069646611,0.0150245608592805,0.000872381985851865,-0.00609900879325218,0.0125122169193407,-0.000790830075581969,-0.020409896524642,-0.00213202165025303,0.217872205096546,0.183997987699215,0.167683259444805,0.146290387922818,0.124728915666606,0.0980939349636279,0.0602541363000457,0.0157759919768421,21401.5690644373
"13",-0.168716978870991,-0.259920555141921,-0.249334550985272,-0.193557279201024,-0.156462890199002,-0.0522490406566298,-0.0033292532362651,0.00116284307196199,0.995874758096291,1.01681678272832,1.02060229622981,1.01102901661635,1.00755952391828,0.989935336134974,0.988200787481048,0.996649205368015,-0.0876427820223585,-0.0658880961859091,-0.075423641762413,-0.0415624971387972,-0.0214655826799882,-0.0336600297187077,-0.0232892235471599,-0.00217941455408175,0.0110649651960268,0.0407490049595657,0.0264136818951395,0.0169519538232006,0.0197571637084618,-0.0182273411010537,-0.0115346028376209,-0.000748030072578344,0.214250729713361,0.186820249261043,0.170452619403369,0.15020317271776,0.126151550340465,0.100127832141571,0.0595992982044471,0.0156874481698702,21399.6711987475
"14",-0.271183683264605,-0.210149837895552,-0.208474148347873,-0.204219274410961,-0.119014117653649,-0.0547472284165918,-0.0091355817564289,0.00348170105544157,1.02287021210187,1.00720592756011,1.01130555966455,1.0139304057369,0.996327456407857,0.989617165809038,0.990336013511484,0.995975651497261,-0.0806336127072276,-0.0878056540421012,-0.0931698664046398,-0.0485175410244397,-0.0203725499528817,-0.0340349673045591,-0.0236486016506519,-0.00173983422411838,0.0312975184959652,0.0453467509758611,0.0178310949097649,0.0141871408392289,0.00764207457647045,-0.00536947626003331,-0.0154238097630979,-0.00133928254900299,0.206651149661347,0.188237180754917,0.16886064418073,0.148704353562868,0.120616962592372,0.0990739063874276,0.0612708867891043,0.0162883245257573,21403.6605149241
"15",-0.182125990862502,-0.223089311327935,-0.202516763856597,-0.174383816151271,-0.137909864536926,-0.0670358327680788,-0.0103863142575293,-0.00347455948755124,1.00369244646815,1.01270381638945,1.01225998450798,1.00494918463176,0.999696626190463,0.993593779726765,0.989993801453692,0.998311771853472,-0.0937941718122862,-0.0795566332298293,-0.0900493334740594,-0.0537187582152109,-0.0104226569048405,-0.0283611819591705,-0.0220713870918295,-0.00210852840495913,-0.00530585394590246,0.0184973820892939,0.00063674724779208,0.0115646835520157,0.0076683507671726,-0.00318727423505051,-0.00980370636082808,-0.000466674532116645,0.22074079594606,0.190552087057278,0.169712601631056,0.147170929653492,0.122554538317765,0.0966405713233306,0.0611523360573301,0.015922877818186,21407.9999637641
"16",-0.275708543359846,-0.178368827276582,-0.227883676667655,-0.233826879338268,-0.120479207461242,-0.062441310073836,-0.00191730103339585,0.00246296845940035,1.02981304115843,0.999510392654146,1.01797822679784,1.02334427352942,0.998669164245874,0.992875618075657,0.988616334228365,0.996354823712755,-0.0860225421833474,-0.0904712993240657,-0.0705569264447758,-0.0510921246097396,-0.0251940341141056,-0.0402192756422947,-0.0237843692625478,-0.00225896328022438,0.021205775377083,0.0068312091546786,2.95322001571912e-05,0.0119894356191246,-0.000922850483429036,-0.000703311378700159,-0.0164573537139294,-0.000796124778862077,0.215966379535589,0.187095253914341,0.166044055033065,0.149466118199046,0.12453056982757,0.0981468676957221,0.0582063612657647,0.0158793646274741,21405.7425083428
"17",-0.207775213082102,-0.214488530505935,-0.196065111122295,-0.224965972291894,-0.148349233667404,-0.038623494541135,-0.008052869727872,0.00293650360079259,1.00175234921444,1.00849877657182,1.00340184652183,1.02202741900824,1.00424363012653,0.986543813676977,0.990283630680213,0.996045603634626,-0.0758148417316013,-0.0918970704367642,-0.0684167616816013,-0.040471334974147,-0.00616395949336918,-0.0400592079153277,-0.0263723484794108,-0.00175227691095829,0.0154098184448522,0.0265841838580695,0.026443428198851,0.00393921960106307,0.0103980174094172,-0.0199752753759577,-0.0176646904543252,-0.00123310472214088,0.215140650136459,0.186372025128617,0.169321687478395,0.149726506423956,0.12406618951778,0.0947371994992746,0.0601203215169843,0.0162933434232429,21402.6017865965
"18",-0.21325167128051,-0.181869719402693,-0.220947068113082,-0.150653323994418,-0.11452407185302,-0.0934836818181612,-0.00666256488538456,0.00145817454096681,1.00700848075983,1.00024412381584,1.01378763742782,1.00489263731778,0.994697427413247,0.999532616018596,0.990038902509007,0.997070423190523,-0.0873418309182635,-0.0986251707687004,-0.0571069654630058,-0.0665129645721934,-0.0188961058062449,-0.0135273353149329,-0.0272462883848903,-0.00416312407862649,0.0175725031124407,0.0308545171893103,0.00674938170965106,-0.0142448285082261,0.00965319488161094,-0.00130801756750449,-0.0153832433936133,-0.0009681707445847,0.214838738336595,0.189324581700872,0.168562679472126,0.150939599002064,0.125825009103509,0.0945547170498703,0.0610239543803266,0.0161969278457267,21402.1703166901
"19",-0.264225208881434,-0.276565289601006,-0.277275548435377,-0.138269767110502,-0.121015060327172,-0.055043813133102,-0.0390530026925755,0.00377684925273422,1.02086198549077,1.02577423262277,1.02930935420225,0.998787340300786,0.998382941909218,0.989485682898669,0.997922079712123,0.995887392172905,-0.0791744919653501,-0.0816233257052734,-0.060647996656423,-0.0642059409132839,-0.0364347280676918,-0.0421186112278773,-0.0188638448537761,-0.00323683915795232,0.0198543443091307,0.0296805519875654,0.0352066420869362,-0.0114648458419483,0.00679818318757339,-0.00734320413250166,-0.00569337053664423,-0.00178943733948186,0.213234052768821,0.181660326605101,0.168332725860257,0.145696512421003,0.123447868326525,0.0935297644011554,0.0614377810218883,0.0157315340665292,21393.115296668
"20",-0.25583810774139,-0.278117098714995,-0.276018341821917,-0.157645805825332,-0.157790969127561,-0.071670106886966,-0.00321762423557926,0.00508682815180967,1.01832334589206,1.02575995270172,1.03338447865119,0.99835463605915,1.00816121973621,0.994912905891431,0.989800709649342,0.995549826215476,-0.070366015471349,-0.0793966124495124,-0.0732585580635574,-0.0419126284757383,-0.0146311262529828,-0.0255543813683348,-0.0307519458056364,-0.00189356115005051,0.013654779514889,0.034089172104371,0.00033001526604129,0.0107128665320676,0.00455835406254713,0.00603288889545659,-0.0212398466155603,-0.00188537721816409,0.212836619790478,0.186135076809966,0.172914944209221,0.148678757288472,0.129693776355185,0.0946007981863678,0.0597225498049984,0.015728597761697,21397.1016253131
