"","beta.1.1","beta.2.1","beta.3.1","beta.4.1","beta.5.1","beta.6.1","beta.7.1","beta.8.1","beta.1.2","beta.2.2","beta.3.2","beta.4.2","beta.5.2","beta.6.2","beta.7.2","beta.8.2","beta.1.3","beta.2.3","beta.3.3","beta.4.3","beta.5.3","beta.6.3","beta.7.3","beta.8.3","beta.1.4","beta.2.4","beta.3.4","beta.4.4","beta.5.4","beta.6.4","beta.7.4","beta.8.4","gamma.1","gamma.2","gamma.3","gamma.4","gamma.5","gamma.6","gamma.7","sigma.1","sigma.2","sigma.3","sigma.4","sigma.5","sigma.6","sigma.7","sigma.8","lp__"
"15",-0.172243382236801,-0.152623461495595,-0.132729399131335,-0.0527109261586655,0.0344642948721835,0.076868266809331,0.0657867697910652,0.0125315903063691,0.999659596631165,-0.00492236902168433,-0.0398071190961307,0.284217262460811,0.440073564619577,0.577126498866295,0.768858134994449,0.945157052078484,-0.103839425334402,-0.0934603517395991,-0.0524906406200378,-0.0297183917687255,0.0321525774222413,-0.0471509326459322,-0.0220110360723953,0.00279390581581217,-0.00170249468532645,0.019154414340071,-0.023033015129024,-0.0207922197948814,0.0036179315847719,-0.0246517409921637,-0.0282973839166849,0.00228114549754606,0.996661002649781,1.03582785687611,0.698002977591154,0.52030470365323,0.394201139337554,0.214136388889217,0.0510146314789736,0.21498761544543,0.174884533937279,0.156882007802023,0.133914960163603,0.101064742387445,0.0739942313772512,0.0447302448028704,0.0120804920273401,23288.8358401613
"16",-0.250439465056903,-0.157653736081892,-0.179427856399587,-0.0223613356229516,0.0380992457546629,0.102283803082038,0.080984444141782,0.0119128667333766,1.02192096879686,-0.0767014729639681,-0.128789612759523,0.214314930181472,0.425359419929864,0.585372767821854,0.758276392948467,0.946361553534109,-0.0856022741959021,-0.0702149833685182,-0.0331788377202542,-0.0375827922825352,0.0337220526409359,-0.0580551554942517,-0.0240920737126423,0.00305423783123375,0.00632793332440609,0.0419111951667299,-0.0141669070259569,-0.0311088291949911,0.00692947215089041,-0.0299981110272403,-0.0343437692580013,0.00358090542010853,1.06494106668579,1.13638285563592,0.759193967495345,0.535259490012501,0.378925132913879,0.221907077687618,0.0497658617248343,0.216732491791747,0.176674558054959,0.149991435588032,0.134078402461204,0.100054143691184,0.0789050125832204,0.0444468926698829,0.0118347460999939,23283.3731122053
"17",-0.267124635881943,-0.189800694606843,-0.160362778728099,0.015304204380249,0.0348163946044052,0.0972631086916448,0.0630213504464399,0.0107161033876896,1.02432936393233,0.034401596387132,-0.0081953609641625,0.180293661880089,0.423676134319078,0.567835871349154,0.76692385402972,0.94708508380185,-0.0617656553859007,-0.0813863211830968,-0.0512917784023507,-0.0395262291930832,0.0351514105133509,-0.0505786772550736,-0.0216507120092432,0.00342081994780724,0.027069127667029,0.0225245691383637,-0.0166208790976008,-0.0454829316869867,0.00105105319608554,-0.0209106245236192,-0.0298651378216606,0.00367036132836171,0.966359801936367,1.01041198791092,0.786390064343989,0.539670957774742,0.39667498228153,0.217453952762682,0.0491596537853379,0.219091219692398,0.17614407633261,0.15143970730032,0.136413077019745,0.100292036149464,0.0761620322263868,0.0439984114826854,0.0121067631565292,23286.725804448
"18",-0.237733127749404,-0.125858924700371,-0.169242237528717,-0.0433867501299931,0.0019769349131534,0.0862261553380322,0.0666685142971312,0.0111010026780697,1.01764005666468,-0.00793705063440098,-0.0113557889932089,0.261389112038327,0.44402195635026,0.593834492228459,0.765763224719355,0.946452475982441,-0.0980985782368017,-0.0938340295020995,-0.0455957711867256,-0.0322112554601352,0.0391953041002627,-0.0492755368166732,-0.0212736194979808,0.00272992457494078,0.020520620657979,0.0255156037054744,-0.0192821487631824,-0.0182214482523176,0.00653521825502188,-0.0153623002061044,-0.0283933533993,0.00217778159942211,0.988220708951822,1.01442094773439,0.718316202172863,0.526305467661122,0.371328747045265,0.216282768323314,0.0498550773305751,0.214092003970332,0.177890998220238,0.149623820149398,0.133600366621083,0.100443186084263,0.0759647259203993,0.0442364029005002,0.0120244936187195,23291.0681505003
"19",-0.203707415416516,-0.163765097340128,-0.137241936759948,-0.0652116536352337,0.0300806607814984,0.114178625323782,0.0678460183488521,0.0111856530849771,1.00742688395697,-0.00916580328829112,-0.0293971190828207,0.31164475326689,0.459493715929543,0.579276106515722,0.76365982207559,0.946101192196701,-0.0887400741613004,-0.0925283903666284,-0.0494941289593537,-0.0425643932489547,0.0182618074520324,-0.0654768538595806,-0.0178425829414153,0.00332343523468087,0.0261553556649356,0.018463232030944,-0.0224089151033191,-0.0224415562661873,-0.00078258242322278,-0.0309881383449248,-0.0319931520887552,0.00359686470337201,1.00601393198401,1.0233169107782,0.675664335483512,0.503874067383528,0.381467980970388,0.219075331730791,0.050195432486153,0.216868564022563,0.176380684610779,0.153210362539972,0.132080764701705,0.10311961393728,0.07556911777212,0.0436049309996961,0.0121768565923327,23287.0672548394
"20",-0.242623805211618,-0.177926397257496,-0.194101292065969,-0.0443387140167943,0.0224845749425358,0.094845231037808,0.0660819587560676,0.0116793588205267,1.0208868568719,-0.0326993947444613,0.0645735675526671,0.194463459988514,0.391331959143237,0.582304502792599,0.768214505731751,0.946150961105148,-0.0845575209430181,-0.0878703556305411,-0.0415762150967134,-0.029939229774706,0.0450586334580823,-0.0543467980289338,-0.0191955892682616,0.0029454078352843,0.0159485092140162,0.0347445406472063,0.000683038122571122,-0.0199607988122914,0.00864644347896702,-0.0225316061619415,-0.0310999884427459,0.00306574065416624,1.03165059076764,0.945301850400573,0.7866903137586,0.575771729510462,0.382798279507343,0.214772814937268,0.0500885606896296,0.212162272214585,0.182599847202731,0.151152885521671,0.133420246985491,0.102384478917467,0.0745129725328473,0.0448252591589508,0.0122012592267323,23290.5302138781
"21",-0.235387848979757,-0.149321678308607,-0.186145741540283,-0.0291243351613017,0.0412547744575001,0.0858122091287204,0.0690232540793412,0.00960318273348724,1.01672906837842,0.114734705206279,0.075473577322759,0.256281572216544,0.391807119932137,0.57718365798587,0.763233677309004,0.946323617888774,-0.101401469512079,-0.0827718829774502,-0.0601587151904216,-0.033417724228808,0.0301465811981626,-0.0550390990834873,-0.0194189523445076,0.00129493777476681,0.015034188612102,0.0381317794981766,-0.00748438362473079,-0.0106280055825121,-0.0020349381099547,-0.0207414649814619,-0.0268260006059746,0.00236834486756299,0.873568316862322,0.934467719237671,0.718109644739062,0.569880837275452,0.390557335088168,0.218818752298636,0.0507401890982048,0.21646622891271,0.183824248449028,0.152066073935206,0.133208288986396,0.0994719993479734,0.077146996645363,0.0439395233344352,0.0120692989386669,23286.8239676075
"22",-0.203107486033347,-0.133975597768638,-0.174330236045967,-0.0352409063129835,0.0246850418940071,0.106266525296857,0.0892823631813246,0.0121166321993469,1.00093979928981,0.0373950392028571,0.0580823306204176,0.255706462130058,0.435368233534303,0.572438147529073,0.756628828703577,0.948328762757204,-0.0844818048295177,-0.100506427667457,-0.0641880819885256,-0.0212885381303442,0.0240826667383849,-0.0615192822018079,-0.0241020145924887,0.00174745629937966,0.0211577823297184,0.0122767230874109,-0.0261775733005112,-0.023678864170748,-0.00419129710078098,-0.0280597830688782,-0.0318908997016626,0.00180483165672768,0.950247883218198,0.950239991629548,0.721433997531262,0.530205960704431,0.389775936737078,0.219610016700218,0.0479409800524594,0.217109895229077,0.180751086971261,0.153113760249505,0.128106395781592,0.102861345690793,0.0758707802927441,0.0441433136304746,0.0118259362894871,23285.7208473834
"23",-0.241864260835947,-0.147110981112716,-0.150424216663899,-0.00845464485683915,0.0190684130169699,0.0780763358310833,0.0729533708261206,0.0110337181836052,1.01292585590426,0.0563358142922127,-0.0528289675455753,0.1858610021724,0.447647756703587,0.592999205218918,0.768277454938044,0.947988769077344,-0.0874837309203254,-0.111764709096253,-0.0451738493800953,-0.0392867583322654,0.0277071376459553,-0.0477688636843369,-0.0250234145056863,0.00176336982501118,0.0188488545007406,0.01664958689088,-0.0234422130582098,-0.0300552668081655,-0.000230870781661889,-0.017626262329292,-0.0322565251609942,0.00151712349918516,0.937891062093222,1.05027372451214,0.78537551183827,0.519132895398965,0.375461150414669,0.213166320816706,0.0484732269192304,0.218851203631273,0.174030654919349,0.15003593830659,0.134335150280612,0.102681222479619,0.0771497141325069,0.0448887755553986,0.0123316465077744,23289.8853620931
"24",-0.210834989005518,-0.114158454430658,-0.16091699856471,-0.0764777062600642,0.0356080625564053,0.0964869475311843,0.0595941640887001,0.0097643440912565,1.0103535529166,0.0247957077975118,0.00380182404950951,0.269468546995703,0.416914316909343,0.579567410204477,0.779843630263863,0.947128884617979,-0.0932904527703797,-0.119699448510708,-0.0479742569871275,-0.0215061426436615,0.0253913589379584,-0.0516352077783651,-0.0205551942199592,0.00189342883609076,-0.00427001386276347,0.0182880460200635,-0.0186315183869201,-0.0179996709908326,0.0071740484968865,-0.0200992893899362,-0.0259773502136806,0.00412552508904693,0.957923416004558,0.998396625839801,0.718362319590514,0.54486795634451,0.384311485286141,0.203823544282123,0.0496338152464424,0.21277083633187,0.178416096981754,0.152536366436215,0.133091204508162,0.103758534335977,0.0753553127235173,0.0444137313389883,0.0124225571895549,23286.6965348729
