"","beta.1.1","beta.2.1","beta.3.1","beta.4.1","beta.5.1","beta.6.1","beta.7.1","beta.8.1","beta.1.2","beta.2.2","beta.3.2","beta.4.2","beta.5.2","beta.6.2","beta.7.2","beta.8.2","sigma.1","sigma.2","sigma.3","sigma.4","sigma.5","sigma.6","sigma.7","sigma.8","lp__"
"1782",0.496949523888237,0.468813918912606,-0.567495297589675,0.975997588140852,0.292928973014368,0.0419040238615528,0.371711777891389,-0.0215564901403644,0.814098741442018,0.859968965675251,1.08089800864821,0.617924662524548,0.854342965117867,0.972867711361109,0.862621867693244,1.00475830584677,0.153976843443114,0.152899828466361,0.210315851475865,0.0776052234866423,0.164091574750498,0.0341414850118478,0.064885684792099,0.0160210220017447,80.4885342570354
"1783",1.34961148769535,0.948810683690678,-1.04156338916115,0.688631954544196,-0.432154675906882,-0.0433670768619588,-0.00215701374842109,0.0566544957866181,0.55042599388458,0.654804794228358,1.11490545877765,0.737678663255329,1.10281992351047,1.00197970632879,0.966531242967372,0.982265242014596,0.216131790239788,0.234337056613843,0.432165701298881,0.0831431466588548,0.095184328447381,0.0112092546747065,0.0528959532153197,0.017800697847692,73.5243422753097
"1784",0.518680485120788,-0.10736393381563,0.184711712813211,-0.193090449227638,0.00881576600767889,0.00320979211893857,0.138249801098795,0.0674052258940096,0.808628425366058,1.00731382656995,0.928171165704893,0.925296083091314,0.983965606602328,0.987316358370982,0.945299135906172,0.976637816288194,0.188902112727833,0.221685426418211,0.718211555096779,0.407657975946519,0.120860680110796,0.0349810736099083,0.042707902173108,0.0184378392044458,77.4333775025342
"1785",0.529101087808176,0.258727520162341,2.08837008690269,0.522139868482358,0.335093508829713,-0.150404896197399,0.201928283791406,0.0353421710201039,0.76355444542705,0.864492479871357,0.150574314192402,0.72207415383422,0.868680182015077,1.03289838547028,0.917463531461304,0.986302689531959,0.190643701022936,0.13732775107713,0.443479782433356,0.191021180111698,0.0961853924336548,0.0244555150339435,0.0266150734305484,0.0121924753268644,74.24874114671
"1786",2.03356194259624,1.16809528975857,1.54129617590559,0.260834885376941,-0.0482572944950984,-0.0820684633800577,0.103065327806146,-0.00593409905755331,0.379900132138134,0.611834359094663,0.414166468698712,0.921602343270262,0.982562369068476,1.01360781860388,0.957322930373356,1.00324990646748,0.288803272501729,0.319263946179524,0.178720985069484,0.290703587940227,0.122815681995791,0.0259772320844919,0.0518086584894129,0.0150047531708863,70.9726199425099
"1787",0.506970580678936,0.116605428595688,0.172292059689937,1.26213921844589,0.248693851314866,0.055998924962104,0.164144874275282,0.0069568450103127,0.803192239427139,0.954484854043274,0.925698254080114,0.575339969071938,0.894788488815025,0.977226778161464,0.928587330479594,0.994737740633726,0.165170879048818,0.155198215958561,0.727377792922409,0.138542646316392,0.056246454533773,0.0829825440587602,0.0308534942972578,0.0100428996361881,75.73501238968
"1788",0.900365097779511,1.86721369182048,-0.609693380076629,0.397251531121075,0.0726703514200357,-0.0673615634764204,-0.196441564318843,-0.00387176528124702,0.663409854153565,0.486883724966538,1.06637494590387,0.781669721791118,0.947066909926294,1.00569301909983,1.05589028286537,0.999273629771415,0.29189821017193,0.390176114573737,0.430844788545231,0.456738173171224,0.119555190748584,0.017006698688939,0.072581194348742,0.0115711020467708,72.7162832863681
"1789",0.640845293855139,0.375086589611967,-0.136650727533856,0.119561272824983,-0.416647672735023,-0.154749290210639,0.266603906747935,-0.0458081786658795,0.775244596334953,0.862234211854487,0.931219091300842,0.847276138354966,1.09790574291748,1.04946516480073,0.8984017406313,1.01088507466006,0.197695989397527,0.157016045080349,0.23357592845879,0.213264778770155,0.113232571384249,0.0549619879917689,0.0531005743759436,0.0153896214049434,79.9162255869159
"1790",0.0272336703681769,-1.29812419865174,0.645138627599626,0.471148026746992,0.876556771454432,-0.226391533933758,0.208428097332064,-0.0971316841554943,0.994727853756095,1.30137931739887,0.683284776031081,0.787497490012216,0.727820385472878,1.11739267605953,0.916146656684386,1.02545191336852,0.308395215931417,0.274426564181227,0.128112099421233,0.095809168182734,0.21683937108981,0.175261208965767,0.0623143341877469,0.0243917435822815,63.6576168966212
"1791",0.257855868504524,0.106604242767265,0.361588751732153,0.796756098748399,-0.0941626278665229,-0.0587880750168471,0.107069738182349,-0.0315053168751982,0.847876506752217,0.882417373620159,0.737254774827565,0.680655043214027,1.01475685895646,1.00530575096442,0.938704157464796,1.00767063242621,0.234700933618786,0.302866828488503,0.30020401251577,0.0662295661697369,0.138864200401111,0.0173664796935638,0.0637676305131391,0.00941152139940457,83.0870541468497
"1792",0.644227155294766,0.512513768817197,1.57931619036944,1.01490073389709,-0.0290670368911744,-0.0811394293339986,-0.281901143489822,0.0499669119244706,0.770977108249968,0.812505459125917,0.430588031598399,0.617708892429309,0.970113309461147,1.0187966739475,1.0638004422166,0.984242373096834,0.328995966676811,0.19269195767125,0.141759999058135,0.132781443196902,0.137958288848779,0.0148852766913023,0.0866580170546847,0.00910379571063006,76.9885728493371
"1793",1.17503519092523,0.919580997317935,3.33766434257913,1.17118262303216,-0.181985885500803,-0.15273902206829,-0.00429597490025697,-0.0504451499575999,0.598998953334139,0.815809986724346,-0.171477728149104,0.555981757481296,1.03929554414592,1.04029076089322,0.957285673800175,1.01138533843629,0.175755815370273,0.548061746858968,0.249693267658638,0.133953365839097,0.0776378783550073,0.0296933898861332,0.106888419548846,0.0162623071696534,68.3744497624638
"1794",0.870463587345471,0.00227808463081156,1.70894859222281,1.47501639552411,0.356047401893934,0.187758814523052,0.0927426336780166,-0.10423704083164,0.711833576325373,0.953784856795565,0.366847346633838,0.443124473377181,0.859130299186285,0.929267315871776,0.951601972290458,1.02543049994787,0.136337166795126,0.458305091283612,0.0956038337476625,0.339060495826851,0.0860200938877161,0.468669836776498,0.0737735777355261,0.0303453846069164,64.6745525282154
"1795",0.957276468145075,0.525904324242965,-1.2035174716409,1.3667559115622,0.649173129715804,-0.209850530789859,0.275015758874072,-0.0289532922881219,0.671928771931962,0.861346675206863,1.3278628328013,0.515263253378851,0.770702029763329,1.07661470766617,0.893431798788113,1.00456834432403,0.207007112318455,0.211389738360945,0.329929312225455,0.122362870931966,0.113986151457954,0.129152606911862,0.0854779376829157,0.0182398940573836,71.3849517974785
"1796",0.00873056286608392,-1.11903013169881,1.21229689812645,1.235279779113,-0.396041098076095,0.59560225010437,-0.249365597153291,0.00504054594859804,0.923669246131607,1.25803761177974,0.598334455653986,0.552993251776532,1.11007647421877,0.806164456695667,1.02165746916726,0.99570714162921,0.213992793181835,0.210578485929,0.265063373702463,0.0357910798660025,0.0924423558461391,0.107908226939773,0.196094800341827,0.0125565142716895,68.6865358181581
"1797",-0.122030866520272,-1.2503921956092,1.72571243995332,1.0433599401866,-0.0281890908421936,-0.386005496644307,-0.0232617284585749,-0.0273106508735356,0.999393850062955,1.28702392445652,0.367170784170365,0.604166567259595,0.997239944018849,1.1254762883703,0.977306109007726,1.00848249579954,0.216068224787253,0.193906772995119,0.154043005143296,0.0522946435827956,0.093991649098867,0.105268744817168,0.0551572370660384,0.0223957008832662,76.4897656856586
"1798",0.198651746913062,-0.0694023158610066,0.886619673333986,1.1762012211395,0.449991370509323,-0.0637055440395758,-0.053794920317095,0.0641214959432485,0.86567502614316,0.998410851927579,0.620992463722019,0.553934020468825,0.840179368749284,1.00661937407528,1.00664113754236,0.979640191797524,0.218748396007675,0.0760785510527255,0.148013028911949,0.0862734535303818,0.164811211456877,0.0127553104676015,0.0560997501617015,0.0200681054181223,80.6569560844021
"1799",0.216927735838275,-0.501375737372684,1.49548793062673,1.34933169109921,0.277808142162058,-0.0460643245906356,0.3906497543852,-0.0410794747869375,0.876545127479549,1.12131997873874,0.493556073723779,0.483465866344457,0.894357039194082,0.990151578686591,0.886935909552414,1.01123076200005,0.146552655344078,0.121477838324462,0.202746269619169,0.454992815181362,0.118179942565605,0.0551072070620879,0.10945269598852,0.0242728552651555,70.5251008358002
"1800",-0.243080165781971,-0.0656110164028639,0.870875946629048,1.58033809327493,-0.137605612873679,-0.081316567488333,0.237361415533645,-0.0940617715184399,1.02747433849242,0.989853515737488,0.607885832641291,0.423928895959089,1.00921048771395,1.01137892169873,0.910668438105056,1.02240589410044,0.19982743038382,0.22460316696084,0.239644416255108,0.170595477359046,0.160741656338173,0.0231011632369036,0.0598364158633166,0.0345789346873682,77.6531546889048
"1801",0.465425950243717,1.16916009001317,1.01258087742157,0.914020892714083,0.0891377091702063,-0.0245636874102434,-0.0462475491391204,-0.00310705471515172,0.827110848275819,0.671821317390148,0.686246650354832,0.644956422071607,0.947598326487242,0.997960554638916,0.999367731944091,0.998357892025855,0.366329945412266,0.212390466460356,0.819893420986866,0.0567077184148651,0.0829282946996357,0.0584814784785648,0.0458685791297773,0.0165683278795508,77.4507082405465
"1802",1.3150377690615,0.748939470567665,0.192501807003443,0.392949394672185,0.0617448053562473,-0.18232879336837,0.322486799856577,0.0406353213631684,0.558301411836599,0.759486033623602,0.805734192288664,0.835170580302119,0.939377146253539,1.06981610704872,0.899593260254441,0.984598577273329,0.191487462687094,0.178625454169929,0.126392265444553,0.197452999415523,0.120454701637511,0.175682819545165,0.0775979752958347,0.0119132824140872,70.3890645522611
"1803",0.597262987157518,-0.228339803050073,0.956839777764832,0.952531323208144,-0.0109530058399313,-0.00311667927626777,0.117814666641498,-0.0345390038012054,0.778572675169269,1.06060714242053,0.611158309664183,0.617638299926344,0.991104817718463,0.986658369890748,0.944147957155156,1.00692442819253,0.219132637678632,0.242827979414451,0.117237780316937,0.0841898081409921,0.15046979410852,0.0152381550653431,0.0509505943806494,0.0124563372291263,86.0209660521262
"1804",1.00218148121933,-0.471405392709456,-1.01118023901309,1.15159472988858,0.133388270670667,-0.312422211225608,0.367163144987991,-0.0335609966181142,0.632836735720733,1.12226777348923,1.15164969552846,0.561192614514324,0.936287309704458,1.09113565156278,0.866014693159422,1.00022872368715,0.245979967528172,0.128036490662172,0.213478157849933,0.144604063108588,0.100219059598654,0.0639896076260155,0.0767907879755774,0.0416606106134572,69.4789403393021
